Control,0.25ug,0.5ug,2ug
15,0,0,0
25,0,0,0
11,0,0,1
0,0,3,0
6,4,0,0
7,5,0,
1,10,0,
16,0,61,
18,0,0,
25,0,0,
78,57,0,
101,0,0,
34,0,0,
12,,0,
,,0,
,,0,
,,,
,,,
22,0,0,0
35,0,0,1
69,0,0,
75,6,0,
0,8,0,
10,0,7,
11,0,9,
5,11,17,
71,35,0,
105,,0,
65,,0,
,,,
,,,
57,0,0,0
134,0,0,0
100,12,0,
0,0,0,
9,9,3,
45,56,31,
17,0,5,
12,61,4,
0,0,0,
12,0,0,
11,0,0,
,0,0,
,0,0,
,,0,
