TotalWOTY,TotalYear,TotalAedes
22,2017,0
23,2017,0
24,2017,0
25,2017,0
26,2017,0
27,2017,0
28,2017,1
29,2017,3
30,2017,6
31,2017,0
32,2017,12
33,2017,17
34,2017,49
35,2017,0
36,2017,111
37,2017,124
38,2017,100
39,2017,6
40,2017,3
22,2018,2
23,2018,1
24,2018,0
25,2018,7
26,2018,12
27,2018,20
28,2018,40
29,2018,40
30,2018,45
31,2018,93
32,2018,146
33,2018,107
34,2018,55
35,2018,119
36,2018,79
37,2018,152
38,2018,95
39,2018,81
40,2018,8
